Year,station,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PXY,SO_2,TCH,TOL,PM25,NO,CH4
2001,28079001,100,0.732600733,100,100,100,0.732600733,0.732600733,100,0.572344322,0.721153846,100,0.812728938,100,100,,,
2001,28079003,100,0.205479452,100,100,100,0.216894977,0.216894977,100,0.194063927,0.924657534,100,0.262557078,100,100,,,
2001,28079004,100,0.057077626,100,100,100,0.057077626,0.057077626,100,0.102739726,0.091324201,100,0.068493151,100,100,,,
2001,28079006,1.312785388,0.639269406,1.392694064,1.404109589,0.742009132,0.662100457,0.662100457,1.392694064,0.616438356,0.799086758,1.392694064,0.639269406,0.730593607,1.563926941,,,
2001,28079007,100,3.118448637,100,100,3.721174004,3.131551363,3.144654088,100,3.118448637,3.472222222,100,3.131551363,3.721174004,100,,,
2001,28079008,3.259930915,0.906735751,2.547495682,100,100,1.122625216,1.144214162,100,0.885146805,4.576856649,100,0.885146805,100,3.238341969,,,
2001,28079009,100,0.433789954,100,100,100,0.764840183,0.799086758,100,0.376712329,0.593607306,100,0.479452055,100,100,,,
2001,28079011,100,0.878995434,100,100,54.76027397,1.00456621,1.02739726,100,0.844748858,0.98173516,100,0.924657534,54.76027397,100,,,
2001,28079012,100,0.582191781,100,100,2.408675799,0.308219178,0.319634703,100,0.0456621,0.182648402,100,0.102739726,2.408675799,100,,,
2001,28079014,100,0.068493151,100,100,100,0.079908676,0.079908676,100,0.0456621,0.182648402,100,0.091324201,100,100,,,
2001,28079015,1.894977169,1.997716895,1.906392694,100,1.563926941,0.924657534,0.924657534,100,0.776255708,0.867579909,100,0.856164384,1.563926941,1.712328767,,,
2001,28079016,100,0.342465753,100,100,100,0.410958904,0.433789954,100,0.296803653,27.83105023,100,0.388127854,100,100,,,
2001,28079017,100,0.808457711,100,100,100,0.870646766,0.870646766,100,0.829187396,1.05721393,100,0.849917081,100,100,,,
2001,28079018,100,0.772058824,100,100,0.833333333,0.931372549,0.931372549,100,0.759803922,12.74509804,100,0.808823529,0.833333333,100,,,
2001,28079019,100,0.171232877,100,100,100,0.182648402,0.182648402,100,0.159817352,0.239726027,100,0.239726027,100,100,,,
2001,28079021,100,2.762557078,100,100,100,2.796803653,2.796803653,100,2.751141553,2.808219178,100,2.796803653,100,100,,,
